region,group4,mort_m,area_km2,hotspot_km2,hotspot_mort_m
Atlantic,Non-wetland: > 5 m,24.2292793566936,21086.69,732.97,6.59774053851986
Atlantic,Wetland: > 5 m,21.4686458541305,8424.53,993.06,14.3993199889393
Atlantic,Wetland: < 5 m,25.340485269255,9183.15,1325.99,17.6552806971602
Atlantic,Non-wetland: < 5 m,3.88831578445941,3330.03,137.68,1.3493867321291
Gulf,Wetland: < 5 m,54.804658693993,11976.73,2657.26,42.4241129719577
Gulf,Wetland: > 5 m,14.3821273898967,3812.77,720.98,10.6747364225593
Gulf,Non-wetland: < 5 m,3.04855199040478,1253.86,159.17,1.68669485516357
Gulf,Non-wetland: > 5 m,4.26892851574975,2757.71,176.92,1.69233892658901
Lakes,Wetland: > 5 m,48.4966856333064,10201.24,2989.91,33.0866875837107
Lakes,Wetland: < 5 m,6.142547267737,1180.03,391.94,4.50001110266686
Lakes,Non-wetland: > 5 m,31.4368596894635,17394.25,1146.13,10.7208672104278
Lakes,Non-wetland: < 5 m,0.887556916272908,319.32,46.18,0.424017121555328
Pacific,Non-wetland: > 5 m,20.7774273819176,18055.76,481.31,4.2143186123867
Pacific,Wetland: > 5 m,1.07657564220285,756.17,31.74,0.291511375134468
Pacific,Non-wetland: < 5 m,0.0389043309521675,29.25,1.05,0.0101155
Pacific,Wetland: < 5 m,0.23538776771453,158.07,7.48,0.0680080809650421
