region,group,mean,median,sd,se,n
Atlantic,Non-wetland,1.00860308576795,0.416666686534882,1.72865868844505,0.00110628135221686,2441672
Atlantic,Wetland,2.32461654490333,0.583333313465118,4.64787997264453,0.00350270720629548,1760768
Gulf,Wetland,3.83370126115349,1.15151512622833,6.46278248949175,0.00514322295189189,1578950
Gulf,Non-wetland,1.7127517392946,0.75,2.86808852738394,0.00452830181122096,401157
Lakes,Wetland,4.36503459167429,2.72727274894714,4.87889655497734,0.00457326373000197,1138127
Lakes,Non-wetland,1.65421281500858,0.888888895511627,2.32527515899177,0.00174711423846025,1771357
Pacific,Non-wetland,1.04914285818783,0.583333313465118,1.63684809829082,0.00121716372752943,1808501
Pacific,Wetland,1.26199127331027,0.666666686534882,1.89060499705207,0.00625274463263956,91424
All,Non-wetland,1.24205610839499,0.600000023841858,1.9968315161286,0.000787921667653237,6422687
All,Wetland,3.33306553972518,1.16666662693024,5.43947983317581,0.00254468487077308,4569269
Atlantic,All,1.55999570207069,0.5,3.34800091849679,0.00163318283844817,4202440
Gulf,All,3.40401046802123,1.03333330154419,5.97485982965656,0.00424603325889731,1980107
Lakes,All,2.71462746455713,1.33333337306976,3.78859020310322,0.00222110784098899,2909484
Pacific,All,1.05938508011794,0.583333313465118,1.65058103506891,0.00119748097455066,1899925
All,All,2.11127215817947,0.75,3.96122524089905,0.00119479128759556,10991956
