Region,Landcover,Elevation,Forest area (km2),Mortality (million),Mortality rate (trees ha-1 yr-1),Hotspot area (km2),Forest area in hotspot (%),Mortality in hotspot (million)
Pacific,Wetland,> 5 m,756.17,1.07657564220285,1.25359709641269,31.74,4.19746882314823,0.291511375134468
Pacific,Wetland,< 5 m,158.07,0.23538776771453,1.30214705710633,7.48,4.73208072372999,0.0680080809650421
Pacific,Non-wetland,> 5 m,18055.76,20.7774273819176,1.04900940419325,481.31,2.66568673930092,4.2143186123867
Pacific,Non-wetland,< 5 m,29.25,0.0389043309521675,1.13152279874962,1.05,3.58974358974359,0.0101155
Gulf,Wetland,> 5 m,3812.77,14.3821273898967,3.29063254637276,720.98,18.9096116471752,10.6747364225593
Gulf,Wetland,< 5 m,11976.73,54.804658693993,4.00658618914707,2657.26,22.1868573475398,42.4241129719577
Gulf,Non-wetland,> 5 m,2757.71,4.26892851574975,1.49389714071301,176.92,6.41546790634258,1.69233892658901
Gulf,Non-wetland,< 5 m,1253.86,3.04855199040478,2.19409536222934,159.17,12.6943996937457,1.68669485516357
Atlantic,Wetland,> 5 m,8424.53,21.4686458541305,2.19502668951378,993.06,11.7877199084103,14.3993199889393
Atlantic,Wetland,< 5 m,9183.15,25.340485269255,2.44350098264606,1325.99,14.4393808224847,17.6552806971602
Atlantic,Non-wetland,> 5 m,21086.69,24.2292793566936,1.00493500968921,732.97,3.4759841397583,6.59774053851986
Atlantic,Non-wetland,< 5 m,3330.03,3.88831578445941,1.0318303789559,137.68,4.13449728681123,1.3493867321291
Lakes,Wetland,> 5 m,10201.24,48.4966856333064,4.32028997231231,2989.91,29.3092800483079,33.0866875837107
Lakes,Wetland,< 5 m,1180.03,6.142547267737,4.75184730056331,391.94,33.2144098031406,4.50001110266686
Lakes,Non-wetland,> 5 m,17394.25,31.4368596894635,1.63784138092549,1146.13,6.58913146585797,10.7208672104278
Lakes,Non-wetland,< 5 m,319.32,0.887556916272908,2.54601043965888,46.18,14.4619817111362,0.424017121555328
All,Wetland,> 5 m,23194.71,85.4240345195365,3.27914169413898,4735.69,20.4171123501867,58.4522553703437
All,Wetland,< 5 m,22497.98,86.5230789986996,3.38865932909113,4382.67,19.4802822297824,64.6474128527498
All,Non-wetland,> 5 m,59294.41,80.7124949438244,1.22676273501372,2537.33,4.27920608367635,23.2252652879233
All,Non-wetland,< 5 m,4932.46,7.86332902208927,1.42590180623046,344.08,6.9758295049529,3.470214208848
