Region,Predictor,al_lag0,al_lag1,al_lag2,wl_lag0,wl_lag1,wl_lag2,nw_lag0,nw_lag1,nw_lag2
lakes,Water level (m),0.68*,0.25,-0.17,0.68*,0.26,-0.16,0.62*,0.22,-0.21
lakes,Drought only,-0.50,-0.47,-0.26,-0.50,-0.47,-0.26,-0.43,-0.47,-0.23
pacific,Water level (m),0.28,0.45,0.65*,0.34,0.43,0.59,0.08,0.50,0.79**
pacific,Drought only,0.19,-0.34,-0.23,0.17,-0.38,-0.23,0.24,-0.20,-0.20
gulf,Water level (m),0.70*,0.81**,0.87**,0.73**,0.82**,0.87***,0.41,0.57,0.72*
gulf,Hurricane only,0.65*,0.77**,0.86**,0.67*,0.78**,0.83**,0.42,0.64*,0.94***
gulf,Drought only,-0.35,-0.47,-0.49,-0.37,-0.48,-0.51,-0.17,-0.33,-0.31
gulf,Compound (both),0.41,0.17,0.44,0.38,0.18,0.43,0.64*,0.12,0.47
atlantic,Water level (m),0.87***,0.82**,0.80**,0.88***,0.81**,0.77**,0.75**,0.69*,0.78**
atlantic,Hurricane only,-0.26,0.06,-0.10,-0.26,0.08,-0.11,-0.27,-0.10,-0.17
atlantic,Drought only,-0.21,-0.28,-0.31,-0.21,-0.28,-0.30,-0.05,-0.14,-0.27
atlantic,Compound (both),0.09,0.44,-0.08,0.05,0.48,-0.07,0.26,0.32,-0.14
