region,year,n_spei_only,n_hurr_only,n_compound,n_pixels,pct_spei_only,pct_hurr_only,pct_compound
atlantic,2012,357623,83516,2215,1251317,0.285797283981597,0.0667424801229425,0.00177013498577898
atlantic,2013,7934,0,0,1251317,0.00634051962851939,0,0
atlantic,2014,0,572376,0,1251317,0,0.457418863485432,0
atlantic,2015,5008,0,0,1251317,0.00400218329967546,0,0
atlantic,2016,24750,776975,7510,1251317,0.0197791606763114,0.620925792584933,0.00600167663349895
atlantic,2017,16565,107281,37607,1251317,0.013238052388004,0.0857344701622371,0.0300539351739008
atlantic,2018,820,805351,36,1251317,0.00065530956584143,0.643602700195075,2.8769688256453e-05
atlantic,2019,0,944172,2227,1251317,0,0.754542613901993,0.00177972488186447
atlantic,2020,2690,316880,52,1251317,0.00214973503916274,0.253237189297356,4.15562163704321e-05
atlantic,2021,6931,4396,184,1251317,0.00553896414737433,0.00351309859931576,0.00014704507331076
atlantic,2022,51594,425527,11587,1251317,0.0412317582195399,0.340063309297324,0.00925984382854225
atlantic,2023,53331,307249,944,1251317,0.0426198956779138,0.245540498530748,0.000754405158724768
gulf,2012,281102,176135,396921,1323059,0.212463692095364,0.133127094105403,0.300002494219835
gulf,2013,25241,0,0,1323059,0.0190777584370765,0,0
gulf,2014,12881,0,0,1323059,0.00973577142062448,0,0
gulf,2015,81403,0,0,1323059,0.0615263567233207,0,0
gulf,2016,0,541418,0,1323059,0,0.409216822530212,0
gulf,2017,30903,467499,57582,1323059,0.0233572350137069,0.353347054061837,0.043521868639267
gulf,2018,44,596707,358,1323059,3.32562644598616e-05,0.451005586296605,0.00027058506083251
gulf,2019,457,856257,12167,1323059,0.000345411655867199,0.647179755400175,0.009196112947344
gulf,2020,19709,892502,15083,1323059,0.0148965390054412,0.674574603248986,0.0114000962920021
gulf,2021,0,987224,0,1323059,0,0.746167782389145,0
gulf,2022,5521,543090,2822,1323059,0.00417290536552036,0.410480560579687,0.00213293587058476
gulf,2023,141169,343449,84000,1323059,0.106698945398505,0.259587063010795,0.0634892321506448
lakes,2012,72043,0,0,149935,0.48049488111515,0,0
lakes,2013,24037,0,0,149935,0.160316136992697,0,0
lakes,2014,0,0,0,149935,0,0,0
lakes,2015,0,0,0,149935,0,0,0
lakes,2016,1408,0,0,149935,0.00939073598559376,0,0
lakes,2017,1088,0,0,149935,0.00725647780704972,0,0
lakes,2018,0,0,0,149935,0,0,0
lakes,2019,0,0,0,149935,0,0,0
lakes,2020,1,0,0,149935,6.66955680795011e-06,0,0
lakes,2021,13788,0,0,149935,0.0919598492680161,0,0
lakes,2022,1854,0,0,149935,0.0123653583219395,0,0
lakes,2023,5090,0,0,149935,0.0339480441524661,0,0
pacific,2012,26,0,0,18732,0.00138799914584668,0,0
pacific,2013,1007,0,0,18732,0.0537582746102926,0,0
pacific,2014,2910,0,0,18732,0.155349135169763,0,0
pacific,2015,486,0,0,18732,0.0259449071108264,0,0
pacific,2016,34,0,0,18732,0.0018150758061072,0,0
pacific,2017,170,0,0,18732,0.00907537903053598,0,0
pacific,2018,329,0,0,18732,0.0175635276532138,0,0
pacific,2019,14020,0,0,18732,0.748451847106556,0,0
pacific,2020,1977,0,0,18732,0.10554131966688,0,0
pacific,2021,2196,0,0,18732,0.117232543241512,0,0
pacific,2022,1616,0,0,18732,0.0862694853726244,0,0
pacific,2023,7100,0,0,18732,0.379030535981209,0,0
