region,year,variable,mean,se,ci_lo,ci_hi
lakes,2012,water_level,0.21420225886918,0.048569313526051,0.11900640435812,0.30939811338024
atlantic,2012,water_level,0.0914601403596761,0.00333755192519994,0.0849185385862842,0.098001742133068
gulf,2012,water_level,0.0713089342183092,0.0109460886045962,0.0498546005533008,0.0927632678833177
pacific,2012,water_level,0.0622434260841662,0.0410246970141702,-0.0181649800636074,0.14265183223194
lakes,2013,water_level,0.208158875338753,0.0437743124996334,0.122361222839472,0.293956527838035
atlantic,2013,water_level,0.0799359802830811,0.00254378063745003,0.0749501702336791,0.0849217903324832
gulf,2013,water_level,0.0770546689482545,0.00780516160337591,0.0617565522056377,0.0923527856908713
pacific,2013,water_level,0.0198067142405673,0.0229487446630794,-0.0251728252990684,0.0647862537802029
lakes,2014,water_level,0.480239346205962,0.0252076842298072,0.43083228511554,0.529646407296384
atlantic,2014,water_level,0.0849110972665249,0.00357091055925288,0.0779121125703892,0.0919100819626605
gulf,2014,water_level,0.0627340654350523,0.00906107723627322,0.0449743540519568,0.0804937768181478
pacific,2014,water_level,0.0836798611111111,0.0262011737369727,0.0323255605866446,0.135034161635578
lakes,2015,water_level,0.668361788617886,0.0224014735445936,0.624454900470483,0.71226867676529
atlantic,2015,water_level,0.0826846661054994,0.00412377571409939,0.0746020657058646,0.0907672665051342
gulf,2015,water_level,0.116025403424489,0.00675134276101395,0.102792771612901,0.129258035236076
pacific,2015,water_level,0.104514313271605,0.0161013521332297,0.0729556630904747,0.136072963452735
lakes,2016,water_level,0.740920562330623,0.0260287532479147,0.68990420596471,0.791936918696536
atlantic,2016,water_level,0.100682225028058,0.00375522019342282,0.0933219934489496,0.108042456607167
gulf,2016,water_level,0.166919434781488,0.00646599550414953,0.154246083593355,0.179592785969621
pacific,2016,water_level,0.107997647849462,0.026123273710332,0.0567960313772117,0.159199264321713
lakes,2017,water_level,0.864483841463415,0.0286349077873467,0.808359422200215,0.920608260726614
atlantic,2017,water_level,0.10185192285698,0.00293270496283977,0.0961038211298139,0.107600024584146
gulf,2017,water_level,0.137306102870441,0.00660725248731869,0.124355887995296,0.150256317745586
pacific,2017,water_level,0.122313620071685,0.0422980350847145,0.0394094713056441,0.205217768837725
lakes,2018,water_level,0.92561737804878,0.0339342507025068,0.859106246671867,0.992128509425694
atlantic,2018,water_level,0.123022840886249,0.00435209420047387,0.11449273625332,0.131552945519178
gulf,2018,water_level,0.132789521439889,0.00575918282713496,0.121501523098705,0.144077519781074
pacific,2018,water_level,0.0714506048387097,0.0245976280739447,0.023239253813778,0.119661955863641
lakes,2019,water_level,1.14463939701897,0.0351350161841976,1.07577476529794,1.21350402874
atlantic,2019,water_level,0.159633030077561,0.00409033406121871,0.151615975317573,0.16765008483755
gulf,2019,water_level,0.209365583531392,0.0119523773475762,0.185938923930143,0.232792243132642
pacific,2019,water_level,0.0606531137992832,0.0141385320241505,0.0329415910319481,0.0883646365666182
lakes,2020,water_level,1.17887567750678,0.0448668261794529,1.09093669819505,1.2668146568185
atlantic,2020,water_level,0.148753628389155,0.0038362147002857,0.141234647576595,0.156272609201715
gulf,2020,water_level,0.193255489535882,0.00700495117465881,0.17952578523355,0.206985193838213
pacific,2020,water_level,0.0433365815412186,0.0185769646470134,0.00692573083307237,0.0797474322493649
lakes,2021,water_level,0.907031504065041,0.043451481930482,0.821866599481296,0.992196408648785
atlantic,2021,water_level,0.130991463122605,0.00298077813507605,0.125149137977856,0.136833788267354
gulf,2021,water_level,0.168197748316498,0.00673813150689346,0.154991010562987,0.181404486070009
pacific,2021,water_level,0.0306486335125448,0.0144495671787019,0.00232748184228907,0.0589697851828005
lakes,2022,water_level,0.746326219512195,0.0339309282977041,0.679821600048695,0.812830838975695
atlantic,2022,water_level,0.141727163880181,0.00302301441050171,0.135802055635598,0.147652272124764
gulf,2022,water_level,0.160613382600515,0.00743837141015903,0.146034174636603,0.175192590564427
pacific,2022,water_level,0.061672603046595,0.0237042877977716,0.0152121989629626,0.108133007130227
lakes,2023,water_level,0.697291751355014,0.0313489949170382,0.635847721317619,0.758735781392408
atlantic,2023,water_level,0.200125658524904,0.00287016479675854,0.194500135523258,0.205751181526551
gulf,2023,water_level,0.153538671023965,0.00857595713667831,0.136729795036076,0.170347547011855
pacific,2023,water_level,0.0850160170250896,0.0127136678452104,0.0600972280484771,0.109934806001702
