year,region,group,y_mean,y_sd,n,se,y_lo,y_hi,n_max,plot_pt,aggregation
2012,Atlantic,Wetland,1.11150287696276,3.36322655602907,918315,0.00350962152037835,1.10462401878282,1.11838173514271,918315,TRUE,by_group
2012,Atlantic,Non-wetland,0.823980830102961,2.1891871330863,333002,0.00379366926417404,0.81654523834518,0.831416421860742,333002,TRUE,by_group
2012,Gulf,Wetland,2.08358515736495,5.67583047769374,1197673,0.00518633166293573,2.0734199473056,2.09375036742431,1197673,TRUE,by_group
2012,Gulf,Non-wetland,1.1019556333151,2.25382772094154,125386,0.00636496752570236,1.08948029696473,1.11443096966548,125386,TRUE,by_group
2012,Lakes,Wetland,3.06984308129107,6.29817461902221,118003,0.0183344621036113,3.03390753556799,3.10577862701414,118003,TRUE,by_group
2012,Lakes,Non-wetland,1.96873519052537,3.07044250064499,31932,0.0171825615618453,1.93505736986416,2.00241301118659,31932,TRUE,by_group
2012,Pacific,Non-wetland,1.01870696033677,2.97822419577344,2925,0.0550673848599418,0.910774886011289,1.12663903466226,2925,TRUE,by_group
2012,Pacific,Wetland,1.05217217870102,2.19468664408205,15807,0.0174561230273276,1.01795817756746,1.08638617983459,15807,TRUE,by_group
2013,Atlantic,Wetland,1.19601529162099,3.46311912982496,910985,0.00362837209578141,1.18890368231326,1.20312690092873,918315,TRUE,by_group
2013,Atlantic,Non-wetland,0.844157456801326,2.20440537853757,329697,0.00383914012981484,0.836632742146889,0.851682171455764,333002,TRUE,by_group
2013,Gulf,Wetland,2.09157349950147,5.73774332405243,1195378,0.00524793547932227,2.081287545962,2.10185945304095,1197673,TRUE,by_group
2013,Gulf,Non-wetland,1.10177686557685,2.59951655226025,124566,0.00736534047646411,1.08734079824298,1.11621293291072,125386,TRUE,by_group
2013,Lakes,Wetland,3.35027059979047,6.62687353797683,117891,0.019300490984387,3.31244163746107,3.38809956211987,118003,TRUE,by_group
2013,Lakes,Non-wetland,1.8427731588368,3.49615058508336,31912,0.0195710045770462,1.80441398986579,1.88113232780781,31932,TRUE,by_group
2013,Pacific,Non-wetland,0.927617419616789,2.40271806966406,2925,0.0444262728238852,0.840541924881974,1.0146929143516,2925,TRUE,by_group
2013,Pacific,Wetland,1.16946849444339,2.89896156731384,15704,0.0231332853268383,1.12412725520279,1.214809733684,15807,TRUE,by_group
2014,Atlantic,Wetland,1.96023896343122,7.55650035466936,895671,0.00798447656659234,1.9445893893607,1.97588853750174,918315,TRUE,by_group
2014,Atlantic,Non-wetland,0.809586115359232,2.62958090312981,323611,0.0046224784947309,0.800526057509559,0.818646173208904,333002,TRUE,by_group
2014,Gulf,Wetland,2.48041460113697,7.99483675928978,1181894,0.00735394430927107,2.4660008702908,2.49482833198314,1197673,TRUE,by_group
2014,Gulf,Non-wetland,1.45280884021643,4.09323230298909,123162,0.0116634767099866,1.42994842586485,1.475669254568,125386,TRUE,by_group
2014,Lakes,Wetland,4.05798858106176,7.72817021670036,117708,0.0225254610452869,4.01383867741299,4.10213848471052,118003,TRUE,by_group
2014,Lakes,Non-wetland,2.18427594474155,3.80870567723869,31864,0.0213367007675315,2.14245601123718,2.22609587824591,31932,TRUE,by_group
2014,Pacific,Non-wetland,1.24787091842582,2.87732361330254,2921,0.0532381470355963,1.14352415023606,1.35221768661559,2925,TRUE,by_group
2014,Pacific,Wetland,1.64305825632464,3.64822507437762,15686,0.0291289961815769,1.58596542380875,1.70015108884053,15807,TRUE,by_group
2015,Atlantic,Wetland,2.02793252222523,7.69017391703853,891632,0.00814410451460779,2.0119700773766,2.04389496707386,918315,TRUE,by_group
2015,Atlantic,Non-wetland,0.828520114578006,2.70907764172615,321664,0.00477661483261593,0.819157949506079,0.837882279649933,333002,TRUE,by_group
2015,Gulf,Wetland,2.43710364188646,7.90559775343259,1180819,0.00727516833902602,2.42284431194197,2.45136297183095,1197673,TRUE,by_group
2015,Gulf,Non-wetland,1.38335254786944,3.80824382613008,121884,0.0109081574361416,1.3619725592946,1.40473253644428,125386,TRUE,by_group
2015,Lakes,Wetland,4.70241406769171,9.2661988276673,117652,0.0270148125009941,4.64946503518976,4.75536310019366,118003,TRUE,by_group
2015,Lakes,Non-wetland,2.68020848432303,4.6029878783444,31840,0.025796055442407,2.62964821565591,2.73076875299015,31932,TRUE,by_group
2015,Pacific,Non-wetland,1.12414406482041,2.73001683084301,2918,0.0505385387481255,1.02508852887408,1.22319960076674,2925,TRUE,by_group
2015,Pacific,Wetland,1.53484797006846,3.54877639349582,15538,0.0284695810989397,1.47904759111454,1.59064834902238,15807,TRUE,by_group
2016,Atlantic,Wetland,1.31324963506849,3.92128826258229,887275,0.00416293516371247,1.30509028214761,1.32140898798937,918315,TRUE,by_group
2016,Atlantic,Non-wetland,0.628806962845567,1.76839021052705,317642,0.00313768355221351,0.622657103083228,0.634956822607905,333002,TRUE,by_group
2016,Gulf,Wetland,3.50299552301363,8.28294023699541,1161768,0.00768466292864917,3.48793358367348,3.51805746235378,1197673,TRUE,by_group
2016,Gulf,Non-wetland,1.05121485925883,2.87054097216405,118846,0.00832667215251429,1.0348945818399,1.06753513667776,125386,TRUE,by_group
2016,Lakes,Wetland,5.10637677273773,10.5251843164313,117526,0.0307017218182434,5.04620139797397,5.16655214750148,118003,TRUE,by_group
2016,Lakes,Non-wetland,2.63501212983865,4.70859994454553,31783,0.0264115779788866,2.58324543700003,2.68677882267727,31932,TRUE,by_group
2016,Pacific,Non-wetland,1.20787643251696,3.04854153508211,2913,0.0564835356655131,1.09716870261255,1.31858416242136,2925,TRUE,by_group
2016,Pacific,Wetland,1.37944971032198,3.54277351164772,15505,0.0284516530185181,1.32368447040568,1.43521495023828,15807,TRUE,by_group
2017,Atlantic,Wetland,2.19675224588478,6.06365329600228,819259,0.00669921245505497,2.18362178947288,2.20988270229669,918315,TRUE,by_group
2017,Atlantic,Non-wetland,0.756472466214474,2.07334534834237,297298,0.00380255630038943,0.749019455865711,0.763925476563238,333002,TRUE,by_group
2017,Gulf,Wetland,3.87554265408948,9.17940997497532,1154755,0.00854220208166871,3.85879993800941,3.89228537016955,1197673,TRUE,by_group
2017,Gulf,Non-wetland,1.35958232898253,3.96057892853511,117791,0.0115399152188957,1.33696409515349,1.38220056281156,125386,TRUE,by_group
2017,Lakes,Wetland,6.90634845719514,11.7352231274936,117476,0.0342386613272772,6.83924068099368,6.9734562333966,118003,TRUE,by_group
2017,Lakes,Non-wetland,3.48914226772286,6.01338776487802,31752,0.0337468830670592,3.42299837691142,3.55528615853429,31932,TRUE,by_group
2017,Pacific,Non-wetland,1.20318946205476,3.04491087158682,2911,0.0564356435895594,1.09257560061923,1.3138033234903,2925,TRUE,by_group
2017,Pacific,Wetland,1.51134591377343,3.40099168025207,15144,0.0276366417614649,1.45717809592096,1.5655137316259,15807,TRUE,by_group
2018,Atlantic,Wetland,2.93418343162491,7.66951280420581,813303,0.00850435909095441,2.91751488780664,2.95085197544318,918315,TRUE,by_group
2018,Atlantic,Non-wetland,1.02577429632847,2.86522340202458,294215,0.00528233675260605,1.01542091629336,1.03612767636358,333002,TRUE,by_group
2018,Gulf,Wetland,5.03896347070103,13.8910477432426,1126857,0.0130858097076212,5.01331528367409,5.06461165772797,1197673,TRUE,by_group
2018,Gulf,Non-wetland,2.20809376042527,5.7353047320453,116044,0.0168362417410813,2.17509472661275,2.24109279423779,125386,TRUE,by_group
2018,Lakes,Wetland,6.20418827637872,10.6102093347692,117411,0.0309648912386727,6.14349708955092,6.26487946320652,118003,TRUE,by_group
2018,Lakes,Non-wetland,3.39994845750331,6.17237260102012,31688,0.0346740618939022,3.33198729619126,3.46790961881536,31932,TRUE,by_group
2018,Pacific,Non-wetland,1.90027491619162,5.37617745037905,2884,0.100109655512816,1.7040599913865,2.09648984099674,2925,TRUE,by_group
2018,Pacific,Wetland,1.73503004405967,4.64110374890461,15062,0.0378163801672778,1.6609099389318,1.80915014918753,15807,TRUE,by_group
2019,Atlantic,Wetland,2.66487738416751,7.0084193154436,795081,0.00785985239522689,2.64947207347286,2.68028269486215,918315,TRUE,by_group
2019,Atlantic,Non-wetland,0.900961902357774,2.473781153579,289484,0.00459778854642463,0.891950236806782,0.909973567908766,333002,TRUE,by_group
2019,Gulf,Wetland,4.93480033386731,13.7685579683345,1125551,0.0129779431770599,4.90936356524028,4.96023710249435,1197673,TRUE,by_group
2019,Gulf,Non-wetland,1.90599525297187,5.06988081597736,115298,0.0149309301236979,1.87673062992943,1.93525987601432,125386,TRUE,by_group
2019,Lakes,Wetland,6.81555900540508,10.9936248583309,117024,0.0321368602249588,6.75257075936416,6.878547251446,118003,TRUE,by_group
2019,Lakes,Non-wetland,3.44169231169278,5.8923149858872,31522,0.0331878464862858,3.37664413257966,3.5067404908059,31932,TRUE,by_group
2019,Pacific,Non-wetland,1.89646076917359,5.38144162000031,2884,0.100207679473559,1.70005371740541,2.09286782094177,2925,TRUE,by_group
2019,Pacific,Wetland,1.72781335303273,4.66607443632439,14844,0.0382980083789077,1.65274925661007,1.80287744945539,15807,TRUE,by_group
2020,Atlantic,Wetland,4.62349665134005,11.3706509062789,779938,0.0128752386028248,4.59826118367851,4.64873211900159,918315,TRUE,by_group
2020,Atlantic,Non-wetland,1.51845121987305,4.2434521701741,273741,0.00811053283212457,1.50255457552209,1.53434786422401,333002,TRUE,by_group
2020,Gulf,Wetland,5.85338739077667,12.8223859704085,1003361,0.0128008921162684,5.82829764222878,5.87847713932456,1197673,TRUE,by_group
2020,Gulf,Non-wetland,3.27181107359159,6.42121066805965,108614,0.019483815774429,3.23362279467371,3.30999935250947,125386,TRUE,by_group
2020,Lakes,Wetland,6.92217543857184,11.055886820226,115678,0.032506349351472,6.85846299384295,6.98588788330072,118003,TRUE,by_group
2020,Lakes,Non-wetland,3.55495197160581,5.94464812423795,30710,0.0339223745241603,3.48846411753846,3.62143982567317,31932,TRUE,by_group
2020,Pacific,Non-wetland,1.03931730544434,2.72500037609886,2864,0.0509190227214629,0.939516020910272,1.13911858997841,2925,TRUE,by_group
2020,Pacific,Wetland,1.07078865186388,3.0394930647503,14705,0.0250650538714915,1.02166114627576,1.11991615745201,15807,TRUE,by_group
2021,Atlantic,Wetland,4.17507313345314,11.0005706782969,732432,0.0128538006608275,4.14987968415791,4.20026658274836,918315,TRUE,by_group
2021,Atlantic,Non-wetland,1.45098647067538,4.12269422737001,262233,0.0080507706280644,1.43520696024437,1.46676598110639,333002,TRUE,by_group
2021,Gulf,Wetland,5.85961211283506,12.8307499500158,1002397,0.0128153998862722,5.83449392905796,5.88473029661215,1197673,TRUE,by_group
2021,Gulf,Non-wetland,3.28100925524793,6.43264850075048,108064,0.0195681289410327,3.2426557225235,3.31936278797235,125386,TRUE,by_group
2021,Lakes,Wetland,2.74795043833855,6.20883557740618,113129,0.018459638203429,2.71176954745983,2.78413132921727,118003,TRUE,by_group
2021,Lakes,Non-wetland,1.45689183529071,3.46061019696705,29757,0.0200612555699519,1.41757177437361,1.49621189620782,31932,TRUE,by_group
2021,Pacific,Non-wetland,1.09332974010829,3.18873668214754,2849,0.0597409924627965,0.976237394881213,1.21042208533538,2925,TRUE,by_group
2021,Pacific,Wetland,1.28856154286692,3.51278853152233,14167,0.0295129797110727,1.23071610263322,1.34640698310062,15807,TRUE,by_group
2022,Atlantic,Wetland,5.13197693648862,13.0159321598899,593016,0.0169021546400594,5.0988487133941,5.16510515958313,918315,TRUE,by_group
2022,Atlantic,Non-wetland,2.65322984402545,7.27268161572275,214857,0.0156898872125814,2.62247766508879,2.68398202296211,333002,TRUE,by_group
2022,Gulf,Wetland,7.79854248065436,18.8493097890633,947023,0.0193693563315325,7.76057854224456,7.83650641906417,1197673,TRUE,by_group
2022,Gulf,Non-wetland,6.26499026014325,13.4281760805611,96751,0.0431707204273517,6.18037564810564,6.34960487218086,125386,TRUE,by_group
2022,Lakes,Wetland,2.77785322346644,6.31161857255336,109190,0.0191007012733227,2.74041584897073,2.81529059796215,118003,TRUE,by_group
2022,Lakes,Non-wetland,1.55526575661063,4.50891693761927,28047,0.0269233456998074,1.50249599903901,1.60803551418225,31932,TRUE,by_group
2022,Pacific,Non-wetland,0.476282051609386,2.11928749360768,2613,0.0414591286645276,0.395022159426912,0.557541943791861,2925,TRUE,by_group
2022,Pacific,Wetland,0.891018730387504,3.57658734238034,13370,0.0309316531504128,0.830392690212695,0.951644770562313,15807,TRUE,by_group
2023,Atlantic,Wetland,7.38025086056563,16.2004174625985,337236,0.0278971116867546,7.32557252165959,7.43492919947167,918315,TRUE,by_group
2023,Atlantic,Non-wetland,2.62537841875425,7.7979720037836,172788,0.0187596565362622,2.58860949194318,2.66214734556533,333002,TRUE,by_group
2023,Gulf,Wetland,6.36566156227037,16.0921208267677,799598,0.0179960601136574,6.3303892844476,6.40093384009313,1197673,TRUE,by_group
2023,Gulf,Non-wetland,6.26127251940076,14.0568577324396,55653,0.0595859625541074,6.14448403279471,6.37806100600681,125386,TRUE,by_group
2023,Lakes,Non-wetland,3.55842178870928,12.4107469672639,1135,0.36838334788695,2.83639042685086,4.2804531505677,31932,FALSE,by_group
2023,Lakes,Wetland,0.997238189888812,5.5213683586132,2013,0.123062245308281,0.756036189084582,1.23844019069304,118003,FALSE,by_group
2023,Pacific,Non-wetland,0.430232132524776,1.20462698938083,2276,0.0252502952317454,0.380741553870555,0.479722711178997,2925,TRUE,by_group
2023,Pacific,Wetland,0.911192646385159,4.02947000403836,9656,0.0410061785731977,0.830820536381692,0.991564756388626,15807,TRUE,by_group
2012,Atlantic,All,1.03498716060279,3.09720109352795,1251317,0.0027687626738583,1.02956038576203,1.04041393544356,1251317,TRUE,by_group
2012,Gulf,All,1.99055635101352,5.45216507440273,1323059,0.00474001144977686,1.98126592857196,1.99984677345509,1323059,TRUE,by_group
2012,Lakes,All,2.83533761446924,5.78186568126526,149935,0.0149319486017914,2.80607099520973,2.86460423372875,149935,TRUE,by_group
2012,Pacific,All,1.04694658806919,2.3343648780812,18732,0.0170559795182663,1.01351686821339,1.080376307925,18732,TRUE,by_group
2013,Atlantic,All,1.10251311091188,3.18144973542627,1240682,0.00285624084481079,1.09691487885605,1.10811134296771,1251317,TRUE,by_group
2013,Gulf,All,1.99816422797067,5.52596132220711,1319944,0.00480983399722219,1.98873695333611,2.00759150260523,1323059,TRUE,by_group
2013,Lakes,All,3.02913378453501,6.12739725039675,149803,0.0158312709544024,2.99810449346438,3.06016307560564,149935,TRUE,by_group
2013,Pacific,All,1.13149466901702,2.82812632966231,18629,0.0207206814300291,1.09088213341417,1.17210720461988,18732,TRUE,by_group
2014,Atlantic,All,1.65484290344065,6.63618085957339,1219282,0.00600988459265444,1.64306352963905,1.66662227724225,1251317,TRUE,by_group
2014,Gulf,All,2.3834364019436,7.71730199227376,1305056,0.00675539769753403,2.37019582245644,2.39667698143077,1323059,TRUE,by_group
2014,Lakes,All,3.65882309926231,7.11898662142117,149572,0.0184074244364259,3.62274454736691,3.6949016511577,149935,TRUE,by_group
2014,Pacific,All,1.5810201946273,3.54118787006972,18607,0.025960364689381,1.53013787983611,1.63190250941849,18732,TRUE,by_group
2015,Atlantic,All,1.70994928260898,6.75915106084379,1213296,0.00613633088505205,1.69792207407428,1.72197649114368,1251317,TRUE,by_group
2015,Gulf,All,2.33851217603187,7.62246906298853,1302703,0.00667840824791974,2.32542249586595,2.35160185619779,1323059,TRUE,by_group
2015,Lakes,All,4.27170857325416,8.5306912578727,149492,0.0220635427338818,4.22846402949575,4.31495311701257,149935,TRUE,by_group
2015,Pacific,All,1.46991331491492,3.43555323514446,18456,0.0252887807819378,1.42034730458232,1.51947932524752,18732,TRUE,by_group
2016,Atlantic,All,1.13281584644219,3.49832227079727,1204917,0.00318699402273212,1.12656933815764,1.13906235472675,1251317,TRUE,by_group
2016,Gulf,All,3.27546066491853,7.96937130877397,1280614,0.0070423067670267,3.26165774365515,3.2892635861819,1323059,TRUE,by_group
2016,Lakes,All,4.58030411505961,9.64057739072705,149309,0.0249493969010548,4.53140329713355,4.62920493298568,149935,TRUE,by_group
2016,Pacific,All,1.35231359574678,3.46978406966935,18418,0.0255670849509286,1.30220210924296,1.4024250822506,18732,TRUE,by_group
2017,Atlantic,All,1.81325879419676,5.34114382014297,1116557,0.00505468181998424,1.80335161782959,1.82316597056393,1251317,TRUE,by_group
2017,Gulf,All,3.64265717674353,8.85695686946452,1272546,0.0078514123131068,3.62726840860985,3.65804594487722,1323059,TRUE,by_group
2017,Lakes,All,6.17925212856965,10.865668971151,149228,0.028127511481238,6.12412220606643,6.23438205107288,149935,TRUE,by_group
2017,Pacific,All,1.46166197963036,3.34798280487605,18055,0.0249163528481762,1.41282592804794,1.51049803121279,18732,TRUE,by_group
2018,Atlantic,All,2.42720964542799,6.78871945542346,1107518,0.00645078348033531,2.41456610980653,2.43985318104945,1251317,TRUE,by_group
2018,Gulf,All,4.77465807175192,13.3676757421455,1242901,0.011990509394187,4.75115667333932,4.79815947016453,1323059,TRUE,by_group
