covariate,all_mean,all_sd,matched_mean,matched_sd
density_flowline,0.740234855153743,0.0176546140327379,0.0539252129332452,0.0103373460889375
dist_flowline,0.0882199489095545,0.00666012630078429,0.0177704877905364,0.00859425387446004
distance,1.09885441131609,0.00708550126036866,0.00175053863588153,9.67624026498124e-05
forest_type,0.320709995060355,0.012712091697826,0.0582094473306797,0.00957038300289305
hurr_ws,0,0,0,0
insect_defo,0.057978457284916,0.0154197675944883,0.00864248603446569,0.00890635867632651
insect_mort,0.0241500007139057,0.0120698561225105,0.0191139802254091,0.00809655129896828
ppt,1.35850168081229,0.0349670401096308,0.12732177538461,0.00963337300729697
regionatlantic,0.110662873661048,0.0142110886544777,0.0190002934951509,0.0105872866898553
regionlakes,0.951722986811178,0.0170857800259139,0.0251062634841359,0.00928667915923044
regionpacific,1.69005404318649,0.037967703551475,0.0844237351186694,0.00948792229125564
spei_freq,0.588152258446698,0.0177949517208839,0.00970310636855204,0.00834578249467515
tmax_z,0.17393764957997,0.0126551596629072,0.0204032372650357,0.0112365506749043
tpa_live,0.467624643780591,0.0100080367448193,0.0189447056723953,0.0115231468506839
tree_cover,0.295526996897793,0.0100270763787078,0.0754760997525144,0.00841360611366986
wet_freq,0.308457146144345,0.0147186202419138,0.0751404815757287,0.0100075808188944
wet_freq_z,0.260442266907581,0.0113665350620052,0.0367577782742989,0.0122789763288091
wet_sev_z,0.902902298649773,0.0108210522941679,0.0102277963082049,0.00658880413286193
