lc_group,bin,x_mean,y_mean,y_sd,y_se,n,variable,bs_id
Wetland,1,822.588172041152,4.3829301926107,4.635036409078,0.13297347275129,1215,ppt,b00
Wetland,2,884.374335473635,4.3135092727536,4.65538151388907,0.100564382722031,2143,ppt,b00
Wetland,3,962.814724208243,4.33244301067137,4.68942071069783,0.154437846317495,922,ppt,b00
Wetland,4,1033.35425411765,3.26448413557941,3.98284879740977,0.216000303261146,340,ppt,b00
Wetland,5,1125.32210964912,2.1016365087807,3.5676132043556,0.236270956333075,228,ppt,b00
Wetland,6,1193.50346627517,1.52475001385738,2.70345452101694,0.11073781196443,596,ppt,b00
Wetland,7,1254.79634735632,1.67258225213563,2.46900887398737,0.0837072403783375,870,ppt,b00
Wetland,8,1335.28492488584,2.59377384795662,3.16736902887446,0.151342746310808,438,ppt,b00
Wetland,9,1405.39391730769,1.76515753980769,1.86829188337278,0.259085468578221,52,ppt,b00
Wetland,10,1499.38184285714,1.66125542571429,1.96015358002722,0.523873080137159,14,ppt,b00
Wetland,11,1563.17446363636,1.87768591545455,2.22986637427666,0.672330008736897,11,ppt,b00
Wetland,12,1643.6826,1.20575757333333,0.814608445565263,0.210330996223612,15,ppt,b00
Wetland,13,1726.397425,1.5044507495625,1.48998423073217,0.372496057683043,16,ppt,b00
Wetland,14,1779.34094615385,1.32808857815385,1.66124976627096,0.460747785664809,13,ppt,b00
Wetland,15,1858.58452222222,1.25392817,1.17085703332565,0.390285677775218,9,ppt,b00
Non-wetland,1,821.976056792646,2.53982268625741,2.82056949463665,0.0901457919937058,979,ppt,b00
Non-wetland,2,887.991856163916,2.17842799854297,2.84163704877599,0.0677926679397939,1757,ppt,b00
Non-wetland,3,960.664693470681,1.48114578384311,1.95037917242152,0.0549021526703757,1262,ppt,b00
Non-wetland,4,1034.59111724221,1.51205321658034,1.88934986984949,0.0925218611888154,417,ppt,b00
Non-wetland,5,1122.3898095679,1.34365084017593,1.95997773340624,0.108887651855902,324,ppt,b00
