bs_id,n_matched,null_deviance,residual_deviance,deviance_explained,aic,dispersion
b00,14456,19970.4917275707,16059.5882334648,0.1958,52884.9021592806,1.43881830581471
b01,14676,20346.5269399176,16445.4922338013,0.1917,53514.6432581946,1.52020215924871
b02,14554,20358.4686385367,16395.8659917156,0.1946,53309.5883618421,1.53687127560835
b03,14470,19990.4924693518,16114.2108570494,0.1939,53048.4704084433,1.46608864490352
b04,14392,20422.0693456804,16401.2252855846,0.1969,52338.8719878835,1.58077365368054
b05,14550,20098.7632603133,16186.7285135441,0.1946,53540.0853016674,1.44145130571658
b06,14406,20191.0592713485,16281.235005119,0.1936,52706.6453854252,1.55414341733161
b07,14382,19665.6710816436,15939.0383950962,0.1895,52622.672910908,1.48561729618654
b08,14610,20259.1486175022,16207.8027473875,0.2,53193.743644984,1.45497603412888
b09,14698,20933.8664769603,16802.717283238,0.1973,53392.1771051326,1.57649376629315
b10,14286,19442.6822274411,15695.2354145145,0.1927,52182.6106618633,1.46996595674511
b11,14102,19648.5944683208,15674.7136612297,0.2022,51784.5303819208,1.50234567301323
b12,14406,19863.2867146457,16292.245146271,0.1798,53152.0664013016,1.54047458709495
b13,14196,19567.0674362045,15760.1783988197,0.1946,51991.7789230276,1.44091287669651
b14,14452,19914.3966078037,16009.3476523708,0.1961,53258.5975607883,1.43698720452935
b15,14228,19501.8013685916,15731.1081513903,0.1934,52428.4727053362,1.50060479193655
b16,14284,19677.0825322939,15769.8333532089,0.1986,52327.9013753549,1.48525623099057
b17,14396,19893.8387317778,15925.7423173982,0.1995,52509.8781572224,1.44164196038397
b18,14406,19778.7675948492,15791.5872253214,0.2016,52467.3623317137,1.42658470834635
b19,14610,20171.1530381628,16564.355709756,0.1788,53531.2454751776,1.52771376841755
b20,14810,20614.3231324078,16529.9711477417,0.1981,53835.6527927204,1.51986713774368
b21,14464,19872.3813906419,16109.845881321,0.1893,53380.4867092083,1.5312313069528
b22,14534,20199.7651872709,16253.6821072407,0.1954,53333.8535490191,1.55374027091135
b23,14678,20497.3988777923,16198.1430879082,0.2097,53675.2201671692,1.4492810100024
b24,14610,20087.9006918228,16044.7358801316,0.2013,53296.5831911724,1.47588382694264
