treat,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,df,lc_group,bs_id,n_matched,n_total_matched
0,1.79735924386532,0.027004621008667,66.5574696748554,0,Inf,1.74443115927218,1.85028732845846,Inf,Non-wetland,b00,7228,14456
1,3.44440688035638,0.047255107640566,72.8896208755971,0,Inf,3.35178857129531,3.53702518941746,Inf,Wetland,b00,7228,14456
0,1.78901383265784,0.0285629193759786,62.6341379572846,0,Inf,1.7330315393876,1.84499612592808,Inf,Non-wetland,b01,7338,14676
1,3.42705703201006,0.0463340957568937,73.9640425916842,0,Inf,3.33624387307032,3.5178701909498,Inf,Wetland,b01,7338,14676
0,1.82113736101656,0.0292261968842918,62.3118145760307,0,Inf,1.76385506771827,1.87841965431485,Inf,Non-wetland,b02,7277,14554
1,3.45175898903863,0.0471987466942361,73.1324289477405,0,Inf,3.35925114540249,3.54426683267476,Inf,Wetland,b02,7277,14554
0,1.81786293667149,0.0287359414445458,63.2609493647381,0,Inf,1.76154152637833,1.87418434696465,Inf,Non-wetland,b03,7235,14470
1,3.45614856795176,0.0457818478425971,75.491679143978,0,Inf,3.36641779503458,3.54587934086894,Inf,Wetland,b03,7235,14470
0,1.81592116206216,0.0316753639762273,57.3291332476885,0,Inf,1.75383858947156,1.87800373465277,Inf,Non-wetland,b04,7196,14392
1,3.42930136757889,0.0484937602539367,70.7163426721586,0,Inf,3.33425534400626,3.52434739115153,Inf,Wetland,b04,7196,14392
0,1.78854387061507,0.0278010444947125,64.3336933241927,0,Inf,1.73405482467284,1.84303291655731,Inf,Non-wetland,b05,7275,14550
1,3.49651059862062,0.0471373981941958,74.1769960279894,0,Inf,3.40412299583507,3.58889820140617,Inf,Wetland,b05,7275,14550
0,1.79690041749731,0.0292802731222252,61.3689773314775,0,Inf,1.73951213672025,1.85428869827437,Inf,Non-wetland,b06,7203,14406
1,3.45809920439505,0.0474633465634775,72.8583097226444,0,Inf,3.36507275454489,3.55112565424521,Inf,Wetland,b06,7203,14406
0,1.81419251154399,0.0275787485627254,65.7822637389717,0,Inf,1.76013915762236,1.86824586546562,Inf,Non-wetland,b07,7191,14382
1,3.40039679803686,0.0472167073565262,72.0168132936713,0,Inf,3.3078537521495,3.49293984392422,Inf,Wetland,b07,7191,14382
0,1.79980619695357,0.0276819698527674,65.0172732116331,0,Inf,1.74555053302102,1.85406186088612,Inf,Non-wetland,b08,7305,14610
1,3.43045009071074,0.047144995857147,72.7638220842202,0,Inf,3.33804759677944,3.52285258464204,Inf,Wetland,b08,7305,14610
0,1.74687302729471,0.0275064937135109,63.5076591545604,0,Inf,1.69296129027525,1.80078476431416,Inf,Non-wetland,b09,7349,14698
1,3.45834344262223,0.0485294645946432,71.2627569974051,0,Inf,3.36322743982772,3.55345944541674,Inf,Wetland,b09,7349,14698
0,1.7869704414298,0.0284846536245078,62.734497845265,0,Inf,1.73114154621367,1.84279933664593,Inf,Non-wetland,b10,7143,14286
1,3.43366550493118,0.0467804165307011,73.3996351374454,0,Inf,3.34197757334922,3.52535343651314,Inf,Wetland,b10,7143,14286
0,1.81824225435529,0.0296442623654479,61.3353853079696,0,Inf,1.76014056777075,1.87634394093982,Inf,Non-wetland,b11,7051,14102
1,3.50285887229236,0.0473757702431202,73.9377714455426,0,Inf,3.410004068876,3.59571367570872,Inf,Wetland,b11,7051,14102
0,1.8595295022467,0.0295218444069251,62.9882563099782,0,Inf,1.80166775045193,1.91739125404146,Inf,Non-wetland,b12,7203,14406
1,3.40205050949697,0.0466952033894877,72.8565304903,0,Inf,3.3105295926028,3.49357142639114,Inf,Wetland,b12,7203,14406
0,1.8025484087977,0.0281118021978508,64.1206990612471,0,Inf,1.74745028894939,1.857646528646,Inf,Non-wetland,b13,7098,14196
1,3.42978855843844,0.0469045944342856,73.1226567419455,0,Inf,3.33785724263778,3.52171987423909,Inf,Wetland,b13,7098,14196
0,1.78707649867957,0.0269988310710377,66.1908841155945,0,Inf,1.73415976215565,1.83999323520348,Inf,Non-wetland,b14,7226,14452
1,3.53509304122239,0.0476270924015455,74.2244143610092,0,Inf,3.441745655427,3.62844042701778,Inf,Wetland,b14,7226,14452
0,1.82886765239214,0.0291606967353397,62.7168708961518,0,Inf,1.77171373702678,1.8860215677575,Inf,Non-wetland,b15,7114,14228
1,3.4760515564028,0.0473447370397958,73.4200203389237,0,Inf,3.38325757694728,3.56884553585832,Inf,Wetland,b15,7114,14228
0,1.80878728535923,0.0288551150402812,62.6851524533587,0,Inf,1.75223229911052,1.86534227160794,Inf,Non-wetland,b16,7142,14284
1,3.46722463624067,0.0472384232730035,73.39839893052,0,Inf,3.37463902793913,3.55981024454222,Inf,Wetland,b16,7142,14284
0,1.82557787642297,0.0287155714608662,63.574492289345,0,Inf,1.76929639056419,1.88185936228176,Inf,Non-wetland,b17,7198,14396
1,3.43186552848864,0.0473975320837767,72.4059962114209,0,Inf,3.33896807264835,3.52476298432892,Inf,Wetland,b17,7198,14396
0,1.76312076201766,0.0271677417597779,64.8975824935136,0,Inf,1.70987296662721,1.81636855740811,Inf,Non-wetland,b18,7203,14406
1,3.4733886051414,0.0468580571046256,74.1257495458242,0,Inf,3.38154850083082,3.56522870945199,Inf,Wetland,b18,7203,14406
0,1.81434551967997,0.0284164351216284,63.8484564272114,0,Inf,1.75865033027256,1.87004070908738,Inf,Non-wetland,b19,7305,14610
1,3.37777244382049,0.0454834303435177,74.2638015274918,0,Inf,3.28862655845386,3.46691832918712,Inf,Wetland,b19,7305,14610
0,1.80475895049062,0.0286538307627627,62.9849099561237,0,Inf,1.7485984741765,1.86091942680474,Inf,Non-wetland,b20,7405,14810
1,3.41989643404196,0.0468676849676721,72.9691777266342,0,Inf,3.32803745946656,3.51175540861737,Inf,Wetland,b20,7405,14810
0,1.80307657179035,0.0288086974897264,62.5879240959558,0,Inf,1.74661256226897,1.85954058131172,Inf,Non-wetland,b21,7232,14464
1,3.4916557618882,0.0477125437885623,73.1810858243368,0,Inf,3.39814089445183,3.58517062932457,Inf,Wetland,b21,7232,14464
0,1.79826423767173,0.0285766523257738,62.9277431510004,0,Inf,1.74225502831449,1.85427344702897,Inf,Non-wetland,b22,7267,14534
1,3.49400415479107,0.0474489347556287,73.6371463929775,0,Inf,3.40100595156524,3.58700235801689,Inf,Wetland,b22,7267,14534
0,1.78886925169562,0.0275714436386189,64.8812327400217,0,Inf,1.73483021516215,1.84290828822909,Inf,Non-wetland,b23,7339,14678
1,3.51622448083921,0.0480143558351295,73.2327742334633,0,Inf,3.42211807266147,3.61033088901695,Inf,Wetland,b23,7339,14678
0,1.81047635535192,0.0276785928516433,65.4107080174213,0,Inf,1.75622731021995,1.86472540048389,Inf,Non-wetland,b24,7305,14610
1,3.44009107621244,0.0464307083690785,74.0908591974753,0,Inf,3.34908856003236,3.53109359239251,Inf,Wetland,b24,7305,14610
