variable,lc_group,bin,x_mean,y_mean,y_sd,y_se,n
ppt,Wetland,1,823.795971971084,4.40500879431599,4.64454085143943,0.129370740803864,32537
ppt,Wetland,2,888.355900594779,4.37600371378109,4.8166930747446,0.103312989599036,54431
ppt,Wetland,3,970.375462883739,4.24624761148601,4.63207751277515,0.159064956111057,21193
ppt,Wetland,4,1046.51816617371,3.01643339497703,3.82539566349758,0.218693176797478,7767
ppt,Wetland,5,1145.39503039841,1.81130391286238,2.93581807853419,0.169125889483402,9012
ppt,Wetland,6,1221.09646491199,1.54361768227427,2.32603198502627,0.0809746066998514,22426
ppt,Wetland,7,1292.63009422752,2.19999209147352,2.84721870383898,0.116010703950958,16270
ppt,Wetland,8,1363.04879491359,2.49535385794597,3.00349587793269,0.269436307410814,5731
ppt,Wetland,9,1451.35725126284,1.6987365353063,1.82417246165151,0.339490050124734,861
ppt,Wetland,10,1535.24678812161,1.56126426058874,1.76954012665268,0.457780843217621,435
ppt,Wetland,11,1621.13191166446,1.56639540631024,2.21059075285468,0.562105259913597,434
ppt,Wetland,12,1697.91723785443,1.2882753528508,1.52953827065059,0.370211336999546,439
ppt,Wetland,13,1777.88893197785,1.54252758296132,1.9078225097989,0.515426266791315,359
ppt,Wetland,14,1859.36109746551,1.22986066875453,1.92730990946501,0.524061530765416,318
ppt,Wetland,15,1944.71693195449,1.3587249926708,1.89656179624392,0.521558967800147,364
ppt,Non-wetland,1,823.035045807434,2.62120794522425,3.02578241879922,0.0938072950765636,26182
ppt,Non-wetland,2,893.268388493464,2.02942035571435,2.78651734421367,0.0650924605447621,45950
ppt,Non-wetland,3,968.306841102954,1.51824466671174,2.00693689054512,0.0581048756443425,30029
ppt,Non-wetland,4,1049.83205455587,1.47714278269806,1.9889418825855,0.0998521679793553,9932
ppt,Non-wetland,5,1142.81331229577,1.24200965455071,1.71656500996567,0.0859414992797959,10862
ppt,Non-wetland,6,1220.799291671,1.16446956024617,1.53300516510981,0.0531471849088729,21631
ppt,Non-wetland,7,1292.23055012796,1.6335467828424,2.02525584169448,0.0815955097312831,16406
ppt,Non-wetland,8,1364.69708251719,1.74116283267369,1.81247828724106,0.128637760286863,6352
ppt,Non-wetland,9,1452.39483738016,1.39923797571304,1.57298519909363,0.254404567944941,1099
ppt,Non-wetland,10,1536.58682213768,1.00458105382582,1.29413690089688,0.321745293451923,441
ppt,Non-wetland,11,1618.82913966403,0.981946729652336,2.11619006231005,0.635278059609623,391
ppt,Non-wetland,12,1699.01004872606,0.832613782234955,1.09575454110755,0.260492460097999,439
ppt,Non-wetland,13,1779.36531384671,0.870108506669788,1.17512364491203,0.302679772302942,399
ppt,Non-wetland,14,1859.79321169178,0.884991510603891,0.864385117025474,0.22177490065395,398
ppt,Non-wetland,15,1942.75728226261,0.797835821929329,0.907596359999679,0.209253505449738,460
